fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,Id
7,1,0,2,0,11,34,1,4,1,9,5,0
8,1,0,3,0,25,67,1,3,1,10,5,1
8,1,0,2,0,15,54,1,3,1,10,5,2
11,0,1,2,0,17,60,1,3,1,10,6,3
7,1,0,2,0,11,34,1,4,1,9,5,4
7,1,0,2,0,13,40,1,4,1,9,5,5
8,1,0,2,0,15,59,1,3,0,9,5,6
7,1,0,1,0,15,21,1,3,0,10,7,7
8,1,0,2,0,9,18,1,3,1,10,7,8
7,1,0,2,0,15,65,1,3,1,9,5,10
6,1,0,2,0,16,59,1,4,1,10,5,12
8,1,0,2,0,9,29,1,3,2,9,5,13
9,0,1,2,0,35,103,1,3,1,11,7,16
8,0,1,2,0,17,56,1,3,1,9,6,19
8,0,0,2,0,23,71,1,4,1,10,5,21
8,0,0,2,0,10,37,1,3,1,10,5,22
9,0,0,2,0,9,67,1,3,1,9,5,23
7,0,0,2,0,21,40,1,3,1,10,6,24
6,0,0,1,0,11,23,1,3,1,9,5,25
8,0,0,2,0,4,11,1,3,1,10,5,26
7,1,0,2,0,14,35,1,3,1,9,5,28
8,1,0,2,0,8,16,1,3,1,10,6,29
7,1,0,2,0,17,82,1,3,1,10,5,30
8,1,0,2,0,15,113,1,3,1,10,5,32
5,0,0,2,0,13,50,1,3,1,9,5,34
8,1,0,6,0,5,18,1,3,1,10,6,35
8,1,0,2,0,3,15,1,3,1,11,6,36
8,0,0,2,0,13,30,1,3,1,10,7,37
7,0,0,6,0,12,87,1,3,1,11,5,40
9,1,0,3,0,17,46,1,3,1,9,4,41
8,0,0,3,0,8,14,1,3,1,11,6,42
8,1,0,2,0,9,23,1,3,1,10,5,43
5,1,0,2,0,8,65,1,4,1,13,4,45
8,1,0,2,0,22,114,1,3,1,9,5,46
9,1,0,2,0,4,23,1,3,1,9,5,50
7,1,0,2,0,8,15,1,3,1,9,6,51
7,1,0,2,0,6,14,1,3,1,9,6,52
9,0,0,3,0,30,119,1,3,1,9,5,53
8,1,0,3,0,33,73,1,3,1,10,6,54
10,0,1,3,0,4,10,1,3,1,10,5,56
8,1,0,2,0,17,54,1,3,1,10,5,58
7,0,0,2,0,9,46,1,3,1,9,6,59
9,0,0,2,0,19,52,1,3,1,9,5,60
8,1,0,2,0,20,112,1,3,1,9,5,61
7,1,0,2,0,13,54,1,3,1,10,5,63
7,1,0,5,0,4,11,1,3,0,11,5,64
7,1,0,5,0,4,11,1,3,0,11,5,65
7,1,0,2,0,6,15,1,3,1,11,5,67
8,1,0,2,0,8,19,1,3,1,11,6,69
8,1,0,2,0,18,94,1,3,0,10,5,72
8,1,0,2,0,11,43,1,3,1,9,4,73
9,0,1,2,0,9,42,1,4,1,11,5,76
7,1,0,2,0,14,30,1,4,1,11,6,77
7,1,0,2,0,12,80,1,3,1,10,5,78
8,1,0,2,0,27,119,1,3,1,9,4,79
6,0,0,2,0,3,15,1,3,1,9,5,80
7,1,0,2,0,21,73,1,3,1,9,5,82
6,0,0,2,0,18,61,1,3,1,10,6,84
7,1,0,2,0,19,40,1,3,1,10,5,85
9,0,0,2,0,20,136,1,3,2,10,6,86
8,0,0,2,0,9,31,1,3,1,10,5,87
9,0,0,2,0,34,125,1,3,1,10,5,88
7,1,0,2,0,8,24,1,3,1,9,5,89
8,1,0,2,0,42,140,1,3,1,10,5,90
9,0,0,2,0,20,136,1,3,2,10,6,91
8,0,0,2,0,9,31,1,3,1,10,5,93
5,1,0,1,0,41,85,1,4,0,11,4,94
7,1,0,3,0,8,23,1,3,1,11,5,96
8,1,0,3,0,5,10,1,3,1,10,5,98
8,1,0,2,0,13,35,1,3,1,9,6,99
8,1,0,2,0,11,50,1,3,1,10,6,100
8,1,0,2,0,13,35,1,3,1,9,6,102
8,1,0,2,0,12,65,1,3,1,9,5,103
7,0,0,2,0,5,36,1,3,0,9,5,104
8,1,0,2,0,12,65,1,3,1,9,5,105
8,0,1,2,0,18,69,1,3,1,9,5,106
